sample_id,description
cps1962_03s,"IPUMS-CPS, ASEC 1962"
cps1963_03s,"IPUMS-CPS, ASEC 1963"
cps1964_03s,"IPUMS-CPS, ASEC 1964"
cps1965_03s,"IPUMS-CPS, ASEC 1965"
cps1966_03s,"IPUMS-CPS, ASEC 1966"
cps1967_03s,"IPUMS-CPS, ASEC 1967"
cps1968_03s,"IPUMS-CPS, ASEC 1968"
cps1969_03s,"IPUMS-CPS, ASEC 1969"
cps1970_03s,"IPUMS-CPS, ASEC 1970"
cps1971_03s,"IPUMS-CPS, ASEC 1971"
cps1972_03s,"IPUMS-CPS, ASEC 1972"
cps1973_03s,"IPUMS-CPS, ASEC 1973"
cps1974_03s,"IPUMS-CPS, ASEC 1974"
cps1975_03s,"IPUMS-CPS, ASEC 1975"
cps1976_01s,"IPUMS-CPS, January 1976"
cps1976_02b,"IPUMS-CPS, February 1976"
cps1976_03b,"IPUMS-CPS, March 1976"
cps1976_03s,"IPUMS-CPS, ASEC 1976"
cps1976_04s,"IPUMS-CPS, April 1976"
cps1976_05s,"IPUMS-CPS, May 1976"
cps1976_06s,"IPUMS-CPS, June 1976"
cps1976_07b,"IPUMS-CPS, July 1976"
cps1976_08b,"IPUMS-CPS, August 1976"
cps1976_09b,"IPUMS-CPS, September 1976"
cps1976_10s,"IPUMS-CPS, October 1976"
cps1976_11s,"IPUMS-CPS, November 1976"
cps1976_12b,"IPUMS-CPS, December 1976"
cps1977_01s,"IPUMS-CPS, January 1977"
cps1977_02b,"IPUMS-CPS, February 1977"
cps1977_03b,"IPUMS-CPS, March 1977"
cps1977_03s,"IPUMS-CPS, ASEC 1977"
cps1977_04b,"IPUMS-CPS, April 1977"
cps1977_05s,"IPUMS-CPS, May 1977"
cps1977_06s,"IPUMS-CPS, June 1977"
cps1977_07b,"IPUMS-CPS, July 1977"
cps1977_08s,"IPUMS-CPS, August 1977"
cps1977_09b,"IPUMS-CPS, September 1977"
cps1977_10s,"IPUMS-CPS, October 1977"
cps1977_11b,"IPUMS-CPS, November 1977"
cps1977_12s,"IPUMS-CPS, December 1977"
cps1978_01s,"IPUMS-CPS, January 1978"
cps1978_02b,"IPUMS-CPS, February 1978"
cps1978_03b,"IPUMS-CPS, March 1978"
cps1978_03s,"IPUMS-CPS, ASEC 1978"
cps1978_04b,"IPUMS-CPS, April 1978"
cps1978_05s,"IPUMS-CPS, May 1978"
cps1978_06b,"IPUMS-CPS, June 1978"
cps1978_07b,"IPUMS-CPS, July 1978"
cps1978_08b,"IPUMS-CPS, August 1978"
cps1978_09s,"IPUMS-CPS, September 1978"
cps1978_10s,"IPUMS-CPS, October 1978"
cps1978_11s,"IPUMS-CPS, November 1978"
cps1978_12b,"IPUMS-CPS, December 1978"
cps1979_01b,"IPUMS-CPS, January 1979"
cps1979_02b,"IPUMS-CPS, February 1979"
cps1979_03b,"IPUMS-CPS, March 1979"
cps1979_03s,"IPUMS-CPS, ASEC 1979"
cps1979_04b,"IPUMS-CPS, April 1979"
cps1979_05s,"IPUMS-CPS, May 1979"
cps1979_06s,"IPUMS-CPS, June 1979"
cps1979_07b,"IPUMS-CPS, July 1979"
cps1979_08b,"IPUMS-CPS, August 1979"
cps1979_09s,"IPUMS-CPS, September 1979"
cps1979_10s,"IPUMS-CPS, October 1979"
cps1979_11s,"IPUMS-CPS, November 1979"
cps1979_12s,"IPUMS-CPS, December 1979"
cps1980_01b,"IPUMS-CPS, January 1980"
cps1980_02b,"IPUMS-CPS, February 1980"
cps1980_03b,"IPUMS-CPS, March 1980"
cps1980_03s,"IPUMS-CPS, ASEC 1980"
cps1980_04b,"IPUMS-CPS, April 1980"
cps1980_05s,"IPUMS-CPS, May 1980"
cps1980_06s,"IPUMS-CPS, June 1980"
cps1980_07b,"IPUMS-CPS, July 1980"
cps1980_08b,"IPUMS-CPS, August 1980"
cps1980_09s,"IPUMS-CPS, September 1980"
cps1980_10s,"IPUMS-CPS, October 1980"
cps1980_11s,"IPUMS-CPS, November 1980"
cps1980_12b,"IPUMS-CPS, December 1980"
cps1981_01s,"IPUMS-CPS, January 1981"
cps1981_02b,"IPUMS-CPS, February 1981"
cps1981_03b,"IPUMS-CPS, March 1981"
cps1981_03s,"IPUMS-CPS, ASEC 1981"
cps1981_04b,"IPUMS-CPS, April 1981"
cps1981_05s,"IPUMS-CPS, May 1981"
cps1981_06s,"IPUMS-CPS, June 1981"
cps1981_07b,"IPUMS-CPS, July 1981"
cps1981_08b,"IPUMS-CPS, August 1981"
cps1981_09s,"IPUMS-CPS, September 1981"
cps1981_10s,"IPUMS-CPS, October 1981"
cps1981_11b,"IPUMS-CPS, November 1981"
cps1981_12s,"IPUMS-CPS, December 1981"
cps1982_01b,"IPUMS-CPS, January 1982"
cps1982_02b,"IPUMS-CPS, February 1982"
cps1982_03b,"IPUMS-CPS, March 1982"
cps1982_03s,"IPUMS-CPS, ASEC 1982"
cps1982_04b,"IPUMS-CPS, April 1982"
cps1982_05b,"IPUMS-CPS, May 1982"
cps1982_06s,"IPUMS-CPS, June 1982"
cps1982_07b,"IPUMS-CPS, July 1982"
cps1982_08b,"IPUMS-CPS, August 1982"
cps1982_09s,"IPUMS-CPS, September 1982"
cps1982_10s,"IPUMS-CPS, October 1982"
cps1982_11s,"IPUMS-CPS, November 1982"
cps1982_12b,"IPUMS-CPS, December 1982"
cps1983_01s,"IPUMS-CPS, January 1983"
cps1983_02b,"IPUMS-CPS, February 1983"
cps1983_03b,"IPUMS-CPS, March 1983"
cps1983_03s,"IPUMS-CPS, ASEC 1983"
cps1983_04s,"IPUMS-CPS, April 1983"
cps1983_05s,"IPUMS-CPS, May 1983"
cps1983_06s,"IPUMS-CPS, June 1983"
cps1983_07b,"IPUMS-CPS, July 1983"
cps1983_08b,"IPUMS-CPS, August 1983"
cps1983_09s,"IPUMS-CPS, September 1983"
cps1983_10s,"IPUMS-CPS, October 1983"
cps1983_11s,"IPUMS-CPS, November 1983"
cps1983_12s,"IPUMS-CPS, December 1983"
cps1984_01s,"IPUMS-CPS, January 1984"
cps1984_02b,"IPUMS-CPS, February 1984"
cps1984_03b,"IPUMS-CPS, March 1984"
cps1984_03s,"IPUMS-CPS, ASEC 1984"
cps1984_04b,"IPUMS-CPS, April 1984"
cps1984_05s,"IPUMS-CPS, May 1984"
cps1984_06s,"IPUMS-CPS, June 1984"
cps1984_07b,"IPUMS-CPS, July 1984"
cps1984_08b,"IPUMS-CPS, August 1984"
cps1984_09s,"IPUMS-CPS, September 1984"
cps1984_10s,"IPUMS-CPS, October 1984"
cps1984_11s,"IPUMS-CPS, November 1984"
cps1984_12s,"IPUMS-CPS, December 1984"
cps1985_01b,"IPUMS-CPS, January 1985"
cps1985_02b,"IPUMS-CPS, February 1985"
cps1985_03b,"IPUMS-CPS, March 1985"
cps1985_03s,"IPUMS-CPS, ASEC 1985"
cps1985_04s,"IPUMS-CPS, April 1985"
cps1985_05s,"IPUMS-CPS, May 1985"
cps1985_06s,"IPUMS-CPS, June 1985"
cps1985_07b,"IPUMS-CPS, July 1985"
cps1985_08b,"IPUMS-CPS, August 1985"
cps1985_09s,"IPUMS-CPS, September 1985"
cps1985_10s,"IPUMS-CPS, October 1985"
cps1985_11b,"IPUMS-CPS, November 1985"
cps1985_12s,"IPUMS-CPS, December 1985"
cps1986_01s,"IPUMS-CPS, January 1986"
cps1986_02b,"IPUMS-CPS, February 1986"
cps1986_03b,"IPUMS-CPS, March 1986"
cps1986_03s,"IPUMS-CPS, ASEC 1986"
cps1986_04b,"IPUMS-CPS, April 1986"
cps1986_05b,"IPUMS-CPS, May 1986"
cps1986_06s,"IPUMS-CPS, June 1986"
cps1986_07b,"IPUMS-CPS, July 1986"
cps1986_08b,"IPUMS-CPS, August 1986"
cps1986_09b,"IPUMS-CPS, September 1986"
cps1986_10s,"IPUMS-CPS, October 1986"
cps1986_11s,"IPUMS-CPS, November 1986"
cps1986_12b,"IPUMS-CPS, December 1986"
cps1987_01s,"IPUMS-CPS, January 1987"
cps1987_02b,"IPUMS-CPS, February 1987"
cps1987_03b,"IPUMS-CPS, March 1987"
cps1987_03s,"IPUMS-CPS, ASEC 1987"
cps1987_04b,"IPUMS-CPS, April 1987"
cps1987_05b,"IPUMS-CPS, May 1987"
cps1987_06s,"IPUMS-CPS, June 1987"
cps1987_07b,"IPUMS-CPS, July 1987"
cps1987_08b,"IPUMS-CPS, August 1987"
cps1987_09b,"IPUMS-CPS, September 1987"
cps1987_10s,"IPUMS-CPS, October 1987"
cps1987_11s,"IPUMS-CPS, November 1987"
cps1987_12s,"IPUMS-CPS, December 1987"
cps1988_01s,"IPUMS-CPS, January 1988"
cps1988_02b,"IPUMS-CPS, February 1988"
cps1988_03b,"IPUMS-CPS, March 1988"
cps1988_03s,"IPUMS-CPS, ASEC 1988"
cps1988_04b,"IPUMS-CPS, April 1988"
cps1988_05s,"IPUMS-CPS, May 1988"
cps1988_06s,"IPUMS-CPS, June 1988"
cps1988_07b,"IPUMS-CPS, July 1988"
cps1988_08s,"IPUMS-CPS, August 1988"
cps1988_09b,"IPUMS-CPS, September 1988"
cps1988_10s,"IPUMS-CPS, October 1988"
cps1988_11s,"IPUMS-CPS, November 1988"
cps1988_12b,"IPUMS-CPS, December 1988"
cps1989_01b,"IPUMS-CPS, January 1989"
cps1989_02b,"IPUMS-CPS, February 1989"
cps1989_03b,"IPUMS-CPS, March 1989"
cps1989_03s,"IPUMS-CPS, ASEC 1989"
cps1989_04b,"IPUMS-CPS, April 1989"
cps1989_05s,"IPUMS-CPS, May 1989"
cps1989_06b,"IPUMS-CPS, June 1989"
cps1989_07b,"IPUMS-CPS, July 1989"
cps1989_08s,"IPUMS-CPS, August 1989"
cps1989_09s,"IPUMS-CPS, September 1989"
cps1989_10s,"IPUMS-CPS, October 1989"
cps1989_11s,"IPUMS-CPS, November 1989"
cps1989_12s,"IPUMS-CPS, December 1989"
cps1990_01s,"IPUMS-CPS, January 1990"
cps1990_02s,"IPUMS-CPS, February 1990"
cps1990_03b,"IPUMS-CPS, March 1990"
cps1990_03s,"IPUMS-CPS, ASEC 1990"
cps1990_04b,"IPUMS-CPS, April 1990"
